logo,name,link,totalRate,category,reviewNums,workingHours,consumeDayOff,jobArray,rateArray
https://image.vorkers.com/resize/70x-/logo/company/7856-efc501d46c922cd5b0effdae6866ce80.png,アクセンチュア株式会社,https://www.vorkers.com/company.php?m_id=a0910000000G33n,4.12,コンサルティング、シンクタンク業界,13715,47.0 ｈ,64.20%,"['コンサルタント ：1239人', 'マネージャー ：269人', 'エンジニア・SE ：206人', 'アナリスト ：150人', '戦略 ：58人', '営業 ：58人', '経営コンサルティング ：50人', 'テクノロジー ：48人', 'アウトソーシング ：40人', '管理 ：38人']","['4.0', '3.6', '2.8', '4.6', '3.8', '4.3', '4.2', '3.9']"
https://image.vorkers.com/resize/70x-/logo/company/6612-f9c52b101551fdb798d29950560a0f40.png,日本アイ・ビー・エム株式会社（IBM）,https://www.vorkers.com/company.php?m_id=a0910000000G1yx,3.79,SIer、ソフト開発、システム運用業界,13273,43.5 ｈ,47.30%,"['コンサルタント ：517人', '営業 ：514人', 'エンジニア・SE ：390人', 'プロジェクトマネージャー ：90人', 'GBS ：88人', '管理 ：67人', 'ITスペシャリスト ：65人', 'サービス ：60人', 'GTS ：37人', 'ITS ：37人']","['3.6', '4.5', '2.9', '4.0', '3.5', '4.1', '3.2', '3.1']"
https://image.vorkers.com/resize/70x-/logo/company/2172-8e9b7fbb68f617b44ce50c84ad46f401.png,富士通株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrPl,3.09,コンピュータ、通信機器、OA機器関連業界,11585,32.9 ｈ,56.30%,"['エンジニア・SE ：864人', '営業 ：585人', '開発 ：160人', 'マーケティング ：70人', '管理 ：65人', '研究開発 ：37人', '企画 ：35人', '事務 ：29人', '一般職 ：25人', 'スタッフ ：22人']","['2.7', '4.4', '2.9', '2.8', '3.1', '3.0', '2.7', '2.8']"
https://image.vorkers.com/resize/70x-/logo/company/5685-d7fcbd8bfba0d931d6e4b35b0732cedb.png,ソフトバンク株式会社,https://www.vorkers.com/company.php?m_id=a0910000000G1So,3.53,通信、ISP、データセンター業界,10613,30.4 ｈ,62.40%,"['営業 ：750人', '企画 ：229人', 'エンジニア・SE ：217人', '販売 ：178人', '管理 ：101人', '技術 ：91人', 'マーケティング ：52人', '開発 ：35人', '事務 ：31人', '情報システム ：22人']","['3.5', '3.9', '2.6', '3.8', '3.1', '3.6', '3.4', '3.1']"
https://image.vorkers.com/resize/70x-/logo/company/8928-604e044fb1e86ea543c5a6b651a6fb13.png,日本郵便株式会社,https://www.vorkers.com/company.php?m_id=a0910000002oiQd,2.79,航空、鉄道、運輸、倉庫業界,9663,14.5 ｈ,84.70%,"['営業 ：698人', '窓口 ：252人', '配達 ：116人', '事務 ：87人', '一般職 ：70人', '集配 ：58人', '郵便 ：54人', '主任 ：47人', '内務 ：36人', '地域基幹職 ：30人']","['3.0', '4.1', '2.3', '2.2', '2.8', '2.5', '2.4', '2.8']"
https://image.vorkers.com/resize/70x-/logo/company/2101-754f10c6a23349ea68cc7dedee683834.png,株式会社日立製作所,https://www.vorkers.com/company.php?m_id=a0910000000FrN0,3.45,総合電機、家電、AV機器業界,9399,38.0 ｈ,53.40%,"['エンジニア・SE ：461人', '営業 ：299人', '設計 ：134人', '開発 ：77人', '研究開発 ：63人', '管理 ：62人', '技術 ：61人', '企画 ：40人', '主任 ：34人', '技師 ：29人']","['2.9', '4.7', '3.3', '2.9', '3.3', '3.1', '2.8', '3.7']"
https://image.vorkers.com/resize/70x-/logo/company/6-e98df754de8b677264382d567b09a11c.png,日本生命保険相互会社,https://www.vorkers.com/company.php?m_id=a0910000000FqdL,3.14,生命保険、損害保険業界,8978,33.5 ｈ,38.80%,"['営業 ：1105人', '事務 ：127人', '総合職 ：110人', '運用 ：61人', 'コーディネーター ：49人', '業務職 ：28人', '管理 ：28人', '企画 ：27人', 'FC ：26人', '支社 ：25人']","['3.6', '4.0', '2.7', '2.9', '3.0', '2.6', '3.0', '2.9']"
https://image.vorkers.com/resize/70x-/logo/company/1448-ed14c9e307df7ae90edfb5d48229a6a0.png,楽天株式会社,https://www.vorkers.com/company.php?m_id=a0910000000Fr7P,3.67,インターネット業界,8855,36.9 ｈ,54.80%,"['営業 ：551人', 'マーケティング ：147人', '開発 ：114人', '企画 ：104人', 'エンジニア・SE ：94人', 'コンサルタント ：79人', '管理 ：52人', '楽天市場 ：42人', 'マネージャー ：38人', '人事 ：34人']","['3.2', '3.9', '2.4', '4.3', '3.7', '3.8', '3.7', '3.0']"
https://image.vorkers.com/resize/70x-/logo/company/2171-367e7f4a8e3325019186e63fd0ad0727.png,日本電気株式会社（NEC）,https://www.vorkers.com/company.php?m_id=a0910000000FrPk,3.19,総合電機、家電、AV機器業界,8591,28.4 ｈ,54.00%,"['営業 ：461人', 'エンジニア・SE ：368人', '主任 ：116人', '開発 ：103人', '企画 ：91人', '管理 ：67人', 'スタッフ ：52人', 'マネージャー ：31人', '技術 ：29人', '研究開発 ：24人']","['2.6', '4.7', '2.8', '2.8', '3.3', '3.2', '2.6', '3.1']"
https://image.vorkers.com/resize/70x-/logo/company/7434-75bba4e21ed3108264e5dde10a724a64.png,株式会社三菱UFJ銀行,https://www.vorkers.com/company.php?m_id=a0910000000G2Re,3.32,銀行（都市・信託・政府系）、信金業界,8577,28.1 ｈ,67.60%,"['営業 ：828人', '事務 ：110人', '総合職 ：99人', '一般職 ：64人', '企画 ：60人', '法人 ：47人', '本部 ：44人', '窓口 ：38人', 'システム ：35人', '管理 ：34人']","['2.8', '4.9', '3.2', '2.9', '3.2', '2.7', '3.0', '3.4']"
https://image.vorkers.com/resize/70x-/logo/company/3729-4e10f0178456dee02f53b5b49ee847f0.png,トランス・コスモス株式会社,https://www.vorkers.com/company.php?m_id=a0910000000Frzh,2.83,コールセンター、業務請負業界,8385,25.6 ｈ,65.30%,"['営業 ：171人', 'コールセンター ：164人', 'オペレーター ：88人', 'エンジニア・SE ：86人', 'ディレクター ：76人', '事務 ：57人', 'マーケティング ：50人', '管理 ：38人', 'スーパーバイザー ：36人', '']","['2.4', '4.3', '2.2', '2.9', '2.9', '2.9', '2.5', '2.1']"
https://image.vorkers.com/resize/70x-/logo/company/7369-f1ddf25557b74ff7d2f4688f25f40740.png,株式会社みずほ銀行,https://www.vorkers.com/company.php?m_id=a0910000000G2Ox,3.18,銀行（都市・信託・政府系）、信金業界,7720,29.0 ｈ,65.90%,"['営業 ：838人', '事務 ：124人', '特定職 ：58人', '総合職 ：43人', 'RM ：42人', '本部 ：35人', '管理 ：34人', '一般職 ：30人', '企画 ：28人', '基幹職 ：22人']","['2.9', '4.7', '3.0', '2.9', '2.9', '2.7', '2.8', '3.3']"
