applicant_id,age,gender,college_level,ex_industries,ex_jobs,working_hours,consume_day_off,satisfaction,motivation,transparency,respectable,growable,mentorship,compliance,fairness,industries,jobs,selected_company_id
1,22,1,80,67,18,16,0,42,15,6,10,11,0,0,0,"11,12,15","2,3,5","97,98,111,264,290,348"
2,21,2,73,67,18,16,11,8,8,14,12,12,5,8,6,"11,12,43","2,6,13","98,133,348,381"
3,22,1,76,67,18,7,0,43,8,12,0,14,1,15,0,"1,2,9,11,13,14,15,23,35","2,3,4","2,4,41,56,120,191,369,374,379,462,498"
4,22,2,80,67,18,10,10,10,10,0,20,15,15,0,10,"20,32,43","1,6,12",170
5,22,2,80,67,18,8,9,16,12,10,10,7,11,6,11,"29,30,31","5,6,15","161,226,275,352,358,449,451,469,480"
6,22,2,80,67,18,6,17,10,8,17,15,12,0,10,5,"20,22,29,63,64","1,5,13","36,39,159,171,234,274,388,428"
7,21,2,80,67,18,3,12,12,10,16,17,9,5,4,12,"1,2,9,10","4,5,7,8,9,10,11","1,19,21,24,28,29,30,34,35,41,46,48,61,99,184,284,415,434,468"
8,22,1,80,67,18,8,8,12,8,8,15,11,10,10,10,"12,17,21,29,30","5,6,7","8,15,17,98,131"
9,21,1,61,67,18,2,5,24,15,5,5,17,17,5,5,"16,22,28","1,2,3",39
10,53,2,64,5,13,20,19,28,10,0,18,5,0,0,0,"43,50,54","6,13,18","44,85,351,381,463"
11,21,2,47,12,"1,12,13",20,30,15,5,10,10,0,0,0,10,"12,31,32,52,58","1,12,13","452,483"
12,21,2,73,67,18,36,31,32,0,0,0,0,1,0,0,"2,3,5","4,5,6","7,71"
13,21,2,47,"12,31","1,12,13",15,30,25,3,5,15,0,0,0,7,"12,31,58","1,12,13","452,483"
14,21,1,80,67,"1,5,6",0,0,0,0,0,19,36,45,0,0,"12,58,65","1,5,6","8,42,98,111,290,483"
15,21,2,0,1,9,5,5,25,5,10,25,25,0,0,0,"1,31,50","1,9,11","44,54,343,469"
16,21,2,0,1,9,5,10,20,5,20,20,20,0,0,0,"31,32,50,51,58","1,4,5,9,15","44,351,409"
17,21,2,0,1,9,5,10,20,5,20,20,20,0,0,0,"1,31,32,50,51,58","1,4,5,9,15",360
18,22,2,80,31,1,0,0,9,10,20,31,20,10,0,0,"31,52,64","1,12,13","20,27,80,165,212"
19,20,2,73,67,18,8,0,16,2,13,20,11,10,13,7,"3,13,18,29","1,5,12,13","33,63,65,68,70,76,102,182,202,210,275,345,388"
20,21,2,73,67,18,12,10,15,10,10,23,8,5,5,2,"11,13,15,18,19,30,32,62,63","1,6,13","2,4,56,64,68,122,141,157,168,182,191,216,345,349,352,353,377,414"
21,22,1,73,67,18,9,8,11,20,20,21,11,0,0,0,"12,20,52","1,5,13","8,20,42,57,144,162,171,225,231,246"
22,21,2,80,67,18,13,8,17,9,5,10,12,12,7,7,"6,9,11,12,15,20,21,29,30,32,34,47,54","2,4,5,13","2,8,15,22,37,38,41,42,57,85,89,97,98,111,141,161,168,171,210,242,258,275,290,297,311,340,388,394"
