"May 13, 2015 at 11:20AM",TalentOne.in (Formerly HireAtEase),http://www.linkedin.com/company/201192,"Bengaluru Area, India",IN,Computer Software,Java + UI Developer/Lead/Architect,"Summary The candidate will be involved in requirement analysis, coding, unit testing, integration and support of core UI and Java code as well as handling the communication between the UI layer and the Backend layer of the application. Candidates should have good interpersonal and communication skills and in his/her capacity as a software engineer in the UI team, he/she will have to interact with...",https://www.linkedin.com/jobs?viewJob=&jobId=48982797&trk=api*a130653*s139051*,No salary provided
"May 12, 2015 at 02:15PM",Crossover.,http://www.linkedin.com/company/9308035,"Bengaluru Area, India",IN,Human Resources,Global IT Sourcer - $30k,"If you are an energetic and dynamic individual, passionate about finding top talent from around the world to help elevate the experience of technology, have the ability to connect the dots between job requirements and candidate qualifications to create a list of high calibre talent for a wide range of pipelines, and committed to build valuable relationships so that job seekers can make smarter car...",https://www.linkedin.com/jobs?viewJob=&jobId=48963603&trk=api*a130653*s139051*,No salary provided
"May 06, 2015 at 11:50AM",7C Studio,http://www.linkedin.com/company/3765462,"Bengaluru Area, India",IN,Computer Software,Mobile Application Developer,"7C Studio is looking for a Senior Android/iOS Developer who is passionate about startups, building products and looking for an oppurtunity to solve hard core engineering problems.    Responsibilities  Design and build advanced applications for the Android/iOS platform Collaborate with the team to define, design and ship new features...",https://www.linkedin.com/jobs?viewJob=&jobId=61098171&trk=api*a130653*s139051*,No salary provided
"May 15, 2015 at 11:00PM",Planetsurf Creations,http://www.linkedin.com/company/2532948,"Bengaluru Area, India",IN,"Internet, Marketing and Advertising",Junior Web Developer,"Candidate be involved in development, testing, and deployment of new websites and web applications to support new business initiatives as well as maintaining and enhancing existing applications and websites.   He/She must deliver quality development solutions that result in very few post-project bug counts.   Candidate will work under the direction of the Tech Lead and must be willing and able to...",https://www.linkedin.com/jobs?viewJob=&jobId=49844870&trk=api*a130653*s139051*,No salary provided
"May 06, 2015 at 11:50AM",7C Studio,http://www.linkedin.com/company/3765462,"Bengaluru Area, India",IN,Computer Software,Mobile Application Developer,"7C Studio is looking for a Senior Android/iOS Developer who is passionate about startups, building products and looking for an oppurtunity to solve hard core engineering problems.    Responsibilities  Design and build advanced applications for the Android/iOS platform Collaborate with the team to define, design and ship new features...",https://www.linkedin.com/jobs?viewJob=&jobId=61098171&trk=api*a130653*s139051*,No salary provided
"May 15, 2015 at 11:00PM",Planetsurf Creations,http://www.linkedin.com/company/2532948,"Bengaluru Area, India",IN,"Internet, Marketing and Advertising",Junior Web Developer,"Candidate be involved in development, testing, and deployment of new websites and web applications to support new business initiatives as well as maintaining and enhancing existing applications and websites.   He/She must deliver quality development solutions that result in very few post-project bug counts.   Candidate will work under the direction of the Tech Lead and must be willing and able to...",https://www.linkedin.com/jobs?viewJob=&jobId=49844870&trk=api*a130653*s139051*,No salary provided
"April 28, 2015 at 07:08PM",Indigo Quotient Labs,http://www.linkedin.com/company/1576580,"Bengaluru Area, India",IN,"Information Technology and Services, Wireless, Consumer Electronics",Web Developer,"Indigo Quotient Labs is a startup in the Internet of Things domain focused on the Home Automation space. We're passionate about Science and Technology, and how to go about using it to enrich people's lives. Our team is young, dynamic, and always looking to push the envelope on technology. Our engineers are a mixed group ranging from college interns to PhD holders but are united through our love of...",https://www.linkedin.com/jobs?viewJob=&jobId=46397415&trk=api*a130653*s139051*,No salary provided
"April 29, 2015 at 02:06AM",INDELUST,http://www.linkedin.com/company/9259580,"Bengaluru Area, India",IN,"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*,No salary provided
"May 12, 2015 at 04:04PM",Byond Travel,http://www.linkedin.com/company/9385366,"Bengaluru Area, India",IN,Hospitality,Head of Marketing / Growth Hacker,"Point of Contact for CV’s / Email ID: Rakshitha - rakshita.b@multirecruit.com - 7760432586. Job Title / Designation: Head of Marketing / Growth Hacker Job Description: You're an analytical, data driven growth strategist, with an expertise in marketing, a passion for the digital creation space, and a soft spot for the travel domain. You spend your days dreaming up creative ways to grow and engage a...",https://www.linkedin.com/jobs?viewJob=&jobId=48968152&trk=api*a130653*s139051*,No salary provided
"April 28, 2015 at 03:00PM",Zoomo India,http://www.linkedin.com/company/9195690,"Bengaluru Area, India",IN,Internet,Visual Designer,"Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin...",https://www.linkedin.com/jobs?viewJob=&jobId=47105214&trk=api*a130653*s139051*,No salary provided
"May 12, 2015 at 04:13PM",KayZen Group,http://www.linkedin.com/company/3787295,"Bengaluru Area, India",IN,"Banking, Information Technology and Services, Financial Services",Chief of Staff - Technology Business,We have been retained by one of the Premier Banking Global In-House Capitve to identify a Lead for their Technology Business Management within its Technology &amp; Operations Business. Roles are based in Bangalore &amp; Hyderabad with a fair amount of travel. Background                                                             Organisation ‘s Global Technology has identified 13 strategic Technol...,https://www.linkedin.com/jobs?viewJob=&jobId=62029164&trk=api*a130653*s139051*,No salary provided
"April 28, 2015 at 03:03PM",Zoomo India,http://www.linkedin.com/company/9195690,"Bengaluru Area, India",IN,Internet,Software Developer,"As Software Developer you will Write backend services that power our listings , internal dashboards and platform. Our services are built on erlang,python and clojure. Write angularjs/react frontend js to interact with the backend. Write a clean, fast and maintainable code using functional paradigms. Research on latest trends in software and adapt them for business needs. Contribute to open source...",https://www.linkedin.com/jobs?viewJob=&jobId=46397335&trk=api*a130653*s139051*,No salary provided
"May 21, 2015 at 08:31PM",Swadha Foundation,http://www.linkedin.com/company/9335855,"Bengaluru Area, India",IN,Nonprofit Organization Management,Volunteer - Communication design,We are looking for talented &amp; self motivated individuals  with a 'heart at the right place' working from any where in the world to come on board and help us in creating and executing a digital communication strategy. Our efforts provide tranformatory results on our beneficiary students &amp; their families and the sense of achievement is better experienced than said.  We believe that this volu...,https://www.linkedin.com/jobs?viewJob=&jobId=51234241&trk=api*a130653*s139051*,No salary provided
"May 10, 2015 at 12:08AM",Branch Media Labs,http://www.linkedin.com/company/6410793,"Bengaluru Area, India",IN,Consumer Electronics,Hardware Design Engineer - High Speed Digital Board Design,"We are looking for a world-class, talented and hands-on Hardware Engineer for the design of a highly challenging and complex consumer product. Along with people leadership and communication skill, the candidate needs to be a great hands-on hardware engineer and personally excel in doing high-speed digital, analog and RF board design. The candidate needs to be detailed and process oriented with a ‘...",https://www.linkedin.com/jobs?viewJob=&jobId=61713766&trk=api*a130653*s139051*,No salary provided
"May 11, 2015 at 12:10PM",TRAVANLEO,http://www.linkedin.com/company/3573722,"Bengaluru Area, India",IN,Information Technology and Services,"Mobile Developers (HTML5/JS, Android and IOS ) – (Senior Software Engineers/Software Engineers)","Imagine what you could do here! At Travanleo, great innovative ideas have a way of becoming great products, services &amp; customer experiences. Bring passion and dedication to your job and there is no telling what you could accomplish.   Travanleo Info Solutions (India) Private Limited is looking for Mobile Developers (HTML5/JS) - Sr. Software Engineers with 4 to 6 years of total industry experie...",https://www.linkedin.com/jobs?viewJob=&jobId=48930865&trk=api*a130653*s139051*,No salary provided
"May 12, 2015 at 04:13PM",KayZen Group,http://www.linkedin.com/company/3787295,"Bengaluru Area, India",IN,"Banking, Information Technology and Services, Financial Services",Chief of Staff - Technology Business,We have been retained by one of the Premier Banking Global In-House Capitve to identify a Lead for their Technology Business Management within its Technology &amp; Operations Business. Roles are based in Bangalore &amp; Hyderabad with a fair amount of travel. Background                                                             Organisation ‘s Global Technology has identified 13 strategic Technol...,https://www.linkedin.com/jobs?viewJob=&jobId=62029164&trk=api*a130653*s139051*,No salary provided
"April 28, 2015 at 03:03PM",Zoomo India,http://www.linkedin.com/company/9195690,"Bengaluru Area, India",IN,Internet,Software Developer,"As Software Developer you will Write backend services that power our listings , internal dashboards and platform. Our services are built on erlang,python and clojure. Write angularjs/react frontend js to interact with the backend. Write a clean, fast and maintainable code using functional paradigms. Research on latest trends in software and adapt them for business needs. Contribute to open source...",https://www.linkedin.com/jobs?viewJob=&jobId=46397335&trk=api*a130653*s139051*,No salary provided
"May 21, 2015 at 08:31PM",Swadha Foundation,http://www.linkedin.com/company/9335855,"Bengaluru Area, India",IN,Nonprofit Organization Management,Volunteer - Communication design,We are looking for talented &amp; self motivated individuals  with a 'heart at the right place' working from any where in the world to come on board and help us in creating and executing a digital communication strategy. Our efforts provide tranformatory results on our beneficiary students &amp; their families and the sense of achievement is better experienced than said.  We believe that this volu...,https://www.linkedin.com/jobs?viewJob=&jobId=51234241&trk=api*a130653*s139051*,No salary provided
"May 10, 2015 at 12:08AM",Branch Media Labs,http://www.linkedin.com/company/6410793,"Bengaluru Area, India",IN,Consumer Electronics,Hardware Design Engineer - High Speed Digital Board Design,"We are looking for a world-class, talented and hands-on Hardware Engineer for the design of a highly challenging and complex consumer product. Along with people leadership and communication skill, the candidate needs to be a great hands-on hardware engineer and personally excel in doing high-speed digital, analog and RF board design. The candidate needs to be detailed and process oriented with a ‘...",https://www.linkedin.com/jobs?viewJob=&jobId=61713766&trk=api*a130653*s139051*,No salary provided
"May 11, 2015 at 12:10PM",TRAVANLEO,http://www.linkedin.com/company/3573722,"Bengaluru Area, India",IN,Information Technology and Services,"Mobile Developers (HTML5/JS, Android and IOS ) – (Senior Software Engineers/Software Engineers)","Imagine what you could do here! At Travanleo, great innovative ideas have a way of becoming great products, services &amp; customer experiences. Bring passion and dedication to your job and there is no telling what you could accomplish.   Travanleo Info Solutions (India) Private Limited is looking for Mobile Developers (HTML5/JS) - Sr. Software Engineers with 4 to 6 years of total industry experie...",https://www.linkedin.com/jobs?viewJob=&jobId=48930865&trk=api*a130653*s139051*,No salary provided
"May 04, 2015 at 02:13PM",A.Criton,http://www.linkedin.com/company/9344227,"Bengaluru Area, India",IN,Apparel & Fashion,Sales Manager - Fashion,"Beyond and before anything else, please note this is a fashion industry position and a strong background in fashion is an absolute must.   This position will deal with all sales and consumer interaction for all our products. Responsibilities include: Create links with and pitch products to fashion buyers and retail outlets. Propose and implement innovative sales strategies. Identify key selling pl...",https://www.linkedin.com/jobs?viewJob=&jobId=60846503&trk=api*a130653*s139051*,No salary provided
